char	strokes	frequency	jlpt	grade	radicals	parts	meanings	readings_kun	readings_on	compounds_kun	compounds_on	words
中	4	11	N5	grade 1	line 丨	｜ 口	in, inside, middle, mean, center	なか, うち, あた.る	チュウ	{中:なか} inside, in, among, within, center (centre), middle, during, while<br/>{中島:なかじま} island in a pond or river<br/>{野中:のなか} in the middle of a field<br/>{そんな中:そんななか} wherein, therein, thereinto<br/>{内:うち} inside, within, while, among, amongst, between, we, our, my spouse, imperial palace grounds, emperor, I, me<br/>{此の内:このうち} meanwhile, the other day, recently<br/>{腹の中:はらのなか} in the belly, in one's heart of hearts<br/>{当たる:あたる} to be hit, to strike, to touch, to be in contact, to be affixed, to be equivalent to, to be applicable, to apply to, to be right on the money (of a prediction, criticism, etc.), to be selected (in a lottery, etc.), to win, to be successful, to go well, to be a hit, to face, to confront, to lie (in the direction of), to undertake, to be assigned, to be stricken (by food poisoning, heat, etc.), to be afflicted, to be called on (e.g. by a teacher), to treat (esp. harshly), to lash out at, to be unnecessary, to be hitting well, to be on a hitting streak, to feel a bite (in fishing), (of fruit, etc.) to be bruised, to spoil, to feel (something) out, to probe into, to check (i.e. by comparison), to shave, to be a relative of a person, to be a ... in relation to ..., to stand in a relationship	{中:チュウ} medium, average, middle, moderation, middle school, China, volume two (of three), during (a certain time when one did or is doing something), under (construction, etc.), while, in, out of, of the<br/>{中尉:チュウイ} first lieutenant, lieutenant junior grade<br/>{宮中:キュウチュウ} imperial court<br/>{訪中:ホウチュウ} visit to China	{中:ちゅう}<br/>{中:なか}<br/>{中:じゅう}<br/>{中:チュン}<br/>{中学校:ちゅうがっこう}<br/>{中:ちゅう}{心:しん}<br/>{中:ちゅう}{世:せい}<br/>{中:ちゅう}{年:ねん}<br/>{中:ちゅう}{立:りつ}<br/>{中:ちゅう}{央:おう}<br/>{中:ちゅう}{止:し}<br/>{中:ちゅう}{学:がく}<br/>{中:ちゅう}{古:こ}<br/>{中:なか}{々:なか}<br/>{中:なか}{身:み}<br/>{中:ちゅう}{間:かん}<br/>{中:ちゅう}{途:と}
長	8	12	N5	grade 2	long, grow 長 (镸)	長	long, leader, superior, senior	なが.い, おさ	チョウ	{長い:ながい} long (distance), long (time), lengthy<br/>{長居:ながい} long visit, overstaying<br/>{長:おさ} head, chief, leader, elder, the greatest of all, the most excellent<br/>{長亀:おさがめ} leatherback turtle (Dermochelys coriacea)<br/>{田長:たおさ} master of the rice field, chief farmer, lesser cuckoo (Cuculus poliocephalus)<br/>{死出田長:しでたおさ} lesser cuckoo (Cuculus poliocephalus)	{長:チョウ} head, chief, leader, elder, merit, strong point, superiority, major<br/>{長官:チョウカン} secretary (government), director, chief<br/>{体長:タイチョウ} length (of an animal), body length<br/>{医長:イチョウ} medical director, chief physician	{長:ちょう}<br/>{長:なが}<br/>{長:おさ}<br/>{長:なが}い<br/>{長:ちょう}{方:ほう}{形:けい}<br/>{長:ちょう}{期:き}<br/>{長:ちょう}{所:しょ}<br/>{長:ちょう}{男:なん}<br/>{長:ちょう}{女:じょ}<br/>{長:なが}{引:び}く<br/>{長:ちょう}{官:かん}<br/>{長:ちょう}{編:へん}<br/>{長閑:のどか}<br/>{長:なが}{々:なが}<br/>{長:ちょう}{寿:じゅ}<br/>{長:なが}さ<br/>{長:ちょう}{老:ろう}
出	5	13	N5	grade 1	container, open mouth 凵	｜ 山	exit, leave, go out, come out, put out, protrude	で.る, -で, だ.す, -だ.す, い.でる, い.だす	シュツ, スイ	{出る:でる} to leave, to exit, to go out, to come out, to get out, to leave (on a journey), to depart, to start out, to set out, to move forward, to come to, to get to, to lead to, to reach, to appear, to come out, to emerge, to surface, to come forth, to turn up, to be found, to be detected, to be discovered, to be exposed, to show, to be exhibited, to be on display, to appear (in print), to be published, to be announced, to be issued, to be listed, to come out, to attend, to participate, to take part, to enter (an event), to play in, to perform, to be stated, to be expressed, to come up, to be brought up, to be raised, to sell, to exceed, to go over, to stick out, to protrude, to break out, to occur, to start, to originate, to be produced, to come from, to be derived from, to be given, to get, to receive, to be offered, to be provided, to be presented, to be submitted, to be handed in, to be turned in, to be paid, to answer (phone, door, etc.), to get, to assume (an attitude), to act, to behave, to pick up (speed, etc.), to gain, to flow (e.g. tears), to run, to bleed, to graduate<br/>{出る杭は打たれる:でるくいはうたれる} the nail that sticks out gets hammered down, people that stick out too much get punished, tall trees catch much wind, people that excel at something become disliked<br/>{出す:だす} to take out, to get out, to put out, to reveal, to show, to submit (e.g. thesis), to turn in, to publish, to make public, to send (e.g. letter), to produce (a sound), to start (fire), to serve (food), ... out (e.g. to jump out, to carry out), to begin ..., to start to ..., to burst into ...<br/>{出すことは舌を出すも嫌い:だすことはしたをだすもきらい} being exceptionally stingy<br/>{出でる:いでる} to go, to come	{出:シュツ} coming out, emerging, being born into (a certain family), being a native of (a particular place)<br/>{出演:シュツエン} performance, appearance (in a stage, film, TV show, etc.)<br/>{輩出:ハイシュツ} producing (people) in great numbers, appearing one after the other<br/>{歳出:サイシュツ} annual expenditure<br/>{出納:スイトウ} receipts and expenditure (disbursements)<br/>{出納簿:スイトウボ} cashbook	{出:で}<br/>{出:しゅつ}<br/>{出:しゅっ}{版:ぱん}<br/>{出:で}{来:き}る<br/>{出:で}る<br/>{出:だ}す<br/>{出:で}かける<br/>{出:しゅっ}{血:けつ}<br/>{出:しゅっ}{発:ぱつ}<br/>{出:しゅっ}{席:せき}<br/>{出:で}{会:あ}う<br/>{出:しゅっ}{身:しん}<br/>{出:で}{来:き}{事:ごと}<br/>{出:で}{会:あ}い<br/>{出:しゅっ}{張:ちょう}<br/>{出:で}{迎:むか}える<br/>{出:で}{迎:むか}え<br/>{出:しゅっ}{勤:きん}<br/>{出:で}{入:い}り<br/>{出:で}{入:い}り{口:ぐち}
三	3	14	N5	grade 1	one 一	一 二	three	み, み.つ, みっ.つ	サン, ゾウ	{三:さん} three, tri-<br/>{三重:さんじゅう} triple, treble, threefold, three-ply, triplicate<br/>{三つ:みっつ} three<br/>{三つ折り:みつおり} threefold, folded in three<br/>{三つ:みっつ} three	{三:サン} three, tri-<br/>{三:サン} three<br/>{十三:ジュウサン} thirteen, 13, king (playing card)<br/>{七三:シチサン} 7 or 3 ratio, hair parted on one side	{三:さん}<br/>{三:サン}<br/>{三:みっ}つ<br/>{三味線:しゃみせん}<br/>{三:みっ}{日:か}<br/>{三:さん}{振:しん}<br/>{三:さん}{塁:るい}{打:だ}<br/>{三:さん}{段:だん}{跳:と}び<br/>{三:さん}{枚:まい}<br/>{三:み}{日:か}{月:づき}<br/>{三:さん}{人:にん}<br/>{三:さん}{度:ど}<br/>{三:さん}{時:じ}<br/>{三:さん}{種:しゅ}<br/>{三:さん}{塁:るい}<br/>{三:さん}{部:ぶ}<br/>{三:さん}{男:なん}
同	6	15	N4	grade 2	mouth, opening 口	一 冂 口	same, agree, equal	おな.じ	ドウ	{同じ:おなじ} same, identical, equal, uniform, equivalent, similar, common (origin), changeless, alike, anyway, anyhow, in either case<br/>{同じく:おなじく} similarly, same (idea), same (name)	{同:ドウ} the same, the said, ibid.<br/>{同意:ドウイ} agreement, consent, approval, assent, same opinion, same view, same meaning<br/>{合同:ゴウドウ} combination, union, incorporation, amalgamation, fusion, congruence<br/>{大同:ダイドウ} largely the same, Daidō era (806.5.18-810.9.19)	{同:どう}<br/>{同:おな}じ<br/>{同:どう}{情:じょう}<br/>{同:どう}{調:ちょう}<br/>{同:どう}{志:し}<br/>{同:どう}{様:よう}<br/>{同:どう}{僚:りょう}<br/>{同:どう}{意:い}<br/>{同:どう}{士:し}<br/>{同:どう}{感:かん}<br/>{同:どう}{盟:めい}<br/>{同:どう}{等:とう}<br/>{同:どう}{居:きょ}<br/>{同:どう}{封:ふう}<br/>{同:おな}い{年:どし}<br/>{同:どう}{窓:そう}{会:かい}<br/>{同:どう}{期:き}<br/>{同:どう}{化:か}<br/>{同:どう}{棲:せい}<br/>{同:どう}{一:いつ}
時	10	16	N5	grade 2	sun, day 日	土 寸 日	time, hour	とき, -どき	ジ	{時:とき} time, hour, moment, occasion, case, chance, opportunity, season, the times, the age, the day, tense<br/>{時折:ときおり} sometimes<br/>{切り替え時:きりかえとき} time to switch over, response time<br/>{逢魔が時:おうまがとき} twilight, time for disasters (similar to 'the witching hour' but not midnight)	{時:ジ} hour, o'clock, (specified) time, when ..., during ...<br/>{時価:ジカ} current value, price, market value<br/>{零時:レイジ} twelve o'clock, midnight, noon<br/>{平時:ヘイジ} peacetime, time of peace, ordinary times, normal times	{時:とき}<br/>{時:じ}<br/>{時:どき}<br/>{時:じ}{間:かん}<br/>{時計:とけい}<br/>{時:とき}{々:どき}<br/>{時:じ}{間:かん}{割:わり}<br/>{時:じ}{代:だい}<br/>{時:じ}{刻:こく}{表:ひょう}<br/>{時:じ}{期:き}<br/>{時:じ}{刻:こく}<br/>{時:じ}{速:そく}<br/>{時:とき}{折:おり}<br/>{時:じ}{差:さ}<br/>{時:じ}{流:りゅう}<br/>{時:じ}{代:だい}{劇:げき}<br/>{時:じ}{半:はん}<br/>{時:とき}として<br/>{時:じ}{点:てん}<br/>{時:じ}{給:きゅう}
政	9	17	N3	grade 5	rap 攴 (攵)	一 攵 止 乞	politics, government	まつりごと, まん	セイ, ショウ	{政:まつりごと} rule, government<br/>{政所:まんどころ} official in charge of the administration of domains and general affairs of powerful noble families (from the middle of the Heian period), titled lady (legal wife of an important official), government office related to finances (Kamakura and Muromachi periods), clerk working for large temples and shrines<br/>{太政:おおまつりごと} (Japanese) imperial government<br/>{政所:まんどころ} official in charge of the administration of domains and general affairs of powerful noble families (from the middle of the Heian period), titled lady (legal wife of an important official), government office related to finances (Kamakura and Muromachi periods), clerk working for large temples and shrines	{政:マツリゴト} rule, government<br/>{政界:セイカイ} political world<br/>{農政:ノウセイ} agricultural administration<br/>{帝政:テイセイ} imperial government, imperialism, monarchical rule<br/>{摂政:セッショウ} regency, regent	{政:まつりごと}<br/>{政:せい}{治:じ}<br/>{政:せい}{府:ふ}<br/>{政:せい}{党:とう}<br/>{政:せい}{策:さく}<br/>{政:せい}{権:けん}<br/>{政:せい}{治:じ}{犯:はん}<br/>{政:せい}{治:じ}{的:てき}<br/>{政:せい}{界:かい}<br/>{政:せい}{敵:てき}<br/>{政:せい}{情:じょう}<br/>{政:せい}{治:じ}{家:か}<br/>{政:せい}{治:じ}{学:がく}<br/>{政:せい}{治:じ}{資:し}{金:きん}<br/>{政:せい}{治:じ}{屋:や}<br/>{政:せい}{治:じ}{活:かつ}{動:どう}<br/>{政:せい}{治:じ}{改:かい}{革:かく}<br/>{政:せい}{府:ふ}{高:こう}{官:かん}<br/>{政:せい}{治:じ}{意:い}{識:しき}<br/>{政:せい}{府:ふ}{機:き}{関:かん}
事	8	18	N4	grade 3	hook 亅	一 亅 口 ヨ	matter, thing, fact, business, reason, possibly	こと, つか.う, つか.える	ジ, ズ	{事:こと} thing, matter, incident, occurrence, event, something serious, trouble, crisis, circumstances, situation, state of affairs, work, business, affair, after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to, nominalizing suffix, pretending to ..., playing make-believe ..., alias, aka, nickname, alternative name, also known as<br/>{事柄:ことがら} matter, thing, affair, circumstance<br/>{神事:しんじ} Shinto ritual<br/>{いい事:いいこと} good thing, nice thing, good excuse, good grounds, good opportunity, interjection used to impress an idea or to urge a response<br/>{仕える:つかえる} to serve, to work for, to attend	{事:ジ} individual concrete phenomenon (as opposed to a general principle)<br/>{事業:ジギョウ} project, enterprise, business, industry, operations, venture, service, act, deed, conduct<br/>{商事:ショウジ} commercial affairs<br/>{有事:ユウジ} emergency	{事:こと}<br/>{事:じ}<br/>{事:ごと}<br/>{事:じ}{故:こ}<br/>{事:じ}{実:じつ}<br/>{事:じ}{務:む}{所:しょ}<br/>{事:じ}{件:けん}<br/>{事:じ}{態:たい}<br/>{事:じ}{情:じょう}<br/>{事:じ}{務:む}<br/>{事:じ}{業:ぎょう}<br/>{事:こと}{柄:がら}<br/>{事:じ}{項:こう}<br/>{事:じ}{前:ぜん}<br/>{事:じ}{務:む}{員:いん}<br/>{事:じ}{実:じつ}{上:じょう}<br/>{事:じ}{例:れい}<br/>{事:じ}{務:む}{室:しつ}<br/>{事:じ}{後:ご}
自	6	19	N4	grade 2	self 自	目 自	oneself	みずか.ら, おの.ずから, おの.ずと	ジ, シ	{自ら:みずから} oneself, for one's self, personally<br/>{自ら進んで:みずからすすんで} by choice, of one's own free will, on one's own initiative, off one's own bat<br/>{自ずから:おのずから} naturally, as a matter of course<br/>{自ずから明らか:おのずからあきらか} self-evident<br/>{自ずと:おのずと} naturally, in due course, by itself	{自:ジ} self-, from ..., this ... (in contrast to some other ...), aforementioned<br/>{自営:ジエイ} running one's own business, doing business on one's own, self-employment<br/>{出自:シュツジ} birthplace, descent, blood-lines, origins, one's outward self<br/>{海自:カイジ} Maritime Self-Defense Force<br/>{自然界:シゼンカイ} nature, the natural world, realm of nature<br/>{自然:シゼン} nature, natural, spontaneous, automatic, naturally, spontaneously, automatically<br/>{己がじし:オノガジシ} each and every one, individually	{自:じ}<br/>{自:じ}{転:てん}{車:しゃ}<br/>{自:じ}{動:どう}{車:しゃ}<br/>{自:じ}{由:ゆう}<br/>{自:し}{然:ぜん}<br/>{自:じ}{殺:さつ}<br/>{自:じ}{分:ぶん}<br/>{自:し}{然:ぜん}{科:か}{学:がく}<br/>{自:じ}{治:ち}<br/>{自:じ}{信:しん}<br/>{自:じ}{己:こ}<br/>{自:じ}{我:が}<br/>{自:じ}{慢:まん}<br/>{自:じ}{身:しん}<br/>{自:じ}{動:どう}<br/>{自:じ}{転:てん}<br/>{自:じ}{立:りつ}<br/>{自:じ}{覚:かく}<br/>{自:じ}{在:ざい}<br/>{自:おの}ずから
行	6	20	N5	grade 2	go, do 行	彳 行	going, journey, carry out, conduct, act, line, row, bank	い.く, ゆ.く, -ゆ.き, -ゆき, -い.き, -いき, おこな.う, おこ.なう	コウ, ギョウ, アン	{行く:いく} to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach, to proceed, to take place, to pass through, to come and go, to walk, to die, to pass away, to do (in a specific way), to stream, to flow, to continue, to have an orgasm, to come, to cum, to trip, to get high, to have a drug-induced hallucination<br/>{行く先:ゆくさき} destination, whereabouts, future, prospects<br/>{行く:いく} to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach, to proceed, to take place, to pass through, to come and go, to walk, to die, to pass away, to do (in a specific way), to stream, to flow, to continue, to have an orgasm, to come, to cum, to trip, to get high, to have a drug-induced hallucination<br/>{行方:ゆくえ} (one's) whereabouts, outcome<br/>{行う:おこなう} to perform, to do, to conduct oneself, to carry out<br/>{行う:おこなう} to perform, to do, to conduct oneself, to carry out	{行:コウ} going, travelling (traveling), type of classical Chinese verse (usu. an epic), district (of similar merchants), guild, bank<br/>{行為:コウイ} act, deed, conduct<br/>{並行:ヘイコウ} going side-by-side, going abreast, running concurrently, occurring at the same time, keeping pace with<br/>{性行:セイコウ} character and conduct<br/>{行:ギョウ} line (of text), row, verse, carya (austerities), samskara (formations), semi-cursive style (of writing Chinese characters), running style<br/>{行革:ギョウカク} administrative reform<br/>{奉行:ブギョウ} magistrate, shogunate administrator<br/>{修行:シュギョウ} ascetic practices, training, practice, discipline, study<br/>{行脚:アンギャ} pilgrimage, walking tour, travelling (on foot)<br/>{行火:アンカ} bed warmer, foot warmer	{行:ぎょう}<br/>{行:こう}<br/>{行:こう}{動:どう}<br/>{行:い}く<br/>{行:ぎょう}{列:れつ}<br/>{行:おこな}う<br/>{行:ぎょう}{政:せい}<br/>{行:い}けない<br/>{行:ぎょう}{儀:ぎ}<br/>{行:ぎょう}{事:じ}<br/>{行:い}き{成:な}り<br/>{行:い}ってらっしゃい<br/>{行:こう}{為:い}<br/>{行:おこな}い<br/>{行:こう}{進:しん}<br/>{行:こう}{員:いん}<br/>{行:ぎょう}{政:せい}{機:き}{関:かん}<br/>{行:い}き<br/>{行:こう}{進:しん}{曲:きょく}
社	7	21	N4	grade 2	sign 示 (礻)	土 礼	company, firm, office, association, shrine	やしろ	シャ	{社:やしろ} shrine (usually Shinto)<br/>{大社:たいしゃ} grand shrine, famous shrine, Izumo Grand Shrine<br/>{村のお社:むらのおやしろ} village shrine	{社:シャ} company, association, society, regional Chinese god of the earth (or a village built in its honour), counter for companies, shrines, etc.<br/>{社員:シャイン} company employee, member of a corporation, company stockholder (esp. in legal contexts)<br/>{大社:タイシャ} grand shrine, famous shrine, Izumo Grand Shrine<br/>{親会社:オヤガイシャ} parent company	{社:やしろ}<br/>{社:しゃ}<br/>{社:しゃ}{会:かい}<br/>{社:しゃ}{説:せつ}<br/>{社:しゃ}{会:かい}{科:か}{学:がく}<br/>{社:しゃ}{長:ちょう}<br/>{社:しゃ}{交:こう}<br/>{社:しゃ}{会:かい}{学:がく}<br/>{社:しゃ}{会:かい}{保:ほ}{障:しょう}<br/>{社:しゃ}{会:かい}{問:もん}{題:だい}<br/>{社:しゃ}{会:かい}{党:とう}<br/>{社:しゃ}{会:かい}{主:しゅ}{義:ぎ}<br/>{社:しゃ}{会:かい}{運:うん}{動:どう}<br/>{社:しゃ}{会:かい}{保:ほ}{険:けん}{庁:ちょう}<br/>{社:しゃ}{債:さい}<br/>{社:しゃ}{会:かい}{的:てき}<br/>{社:しゃ}{員:いん}<br/>{社:しゃ}{会:かい}{福:ふく}{祉:し}<br/>{社:しゃ}{屋:おく}<br/>{社:しゃ}{内:ない}
見	7	22	N5	grade 1	see 見	儿 目 見	see, hopes, chances, idea, opinion, look at, visible	み.る, み.える, み.せる	ケン	{見る:みる} to see, to look, to watch, to view, to observe, to examine, to look over, to assess, to check, to judge, to look after, to attend to, to take care of, to keep an eye on, to experience, to meet with (misfortune, success, etc.), to try ..., to have a go at ..., to give ... a try, to see (that) ..., to find (that) ...<br/>{見る見る:みるみる} very fast, in a twinkle, before one's eyes<br/>{見える:みえる} to be seen, to be in sight, to look, to seem, to appear, to come<br/>{見える化:みえるか} visualization, rendering visible (e.g. a problem), digitization<br/>{見せる:みせる} to show, to display	{見:ケン} view (of life, etc.), outlook<br/>{見解:ケンカイ} opinion, point of view<br/>{高見:コウケン} your views, your opinion, great idea, excellent idea<br/>{政見:セイケン} political views	{見:み}<br/>{見:けん}<br/>{見:み}る<br/>{見:み}せる<br/>{見:けん}{物:ぶつ}<br/>{見:み}{合:あ}い<br/>{見:み}える<br/>{見:み}つかる<br/>{見:み}{積:つ}もり<br/>{見:み}つける<br/>{見:み}{送:おく}り<br/>{見:み}{事:ごと}<br/>{見:み}{舞:ま}い<br/>{見:けん}{解:かい}<br/>{見:けん}{当:とう}<br/>{見:み}{送:おく}る<br/>{見:み}{舞:ま}う<br/>{見:み}{本:ほん}<br/>{見:けん}{学:がく}
月	4	23	N5	grade 1	moon, month 月	月	month, moon	つき	ゲツ, ガツ	{月:つき} moon, month<br/>{月末:げつまつ} end of the month<br/>{卯月:うづき} fourth month of the lunar calendar<br/>{祥月:しょうつき} month of a person's death	{月:ゲツ} Monday<br/>{月額:ゲツガク} monthly amount (sum)<br/>{隔月:カクゲツ} every second month, every other month<br/>{望月:モチヅキ} full moon, 15th day of the lunar calendar, full moon of the eighth lunar month<br/>{月中:ゲツチュウ} (for the) whole month<br/>{月輪:ゲツリン} (full) moon, moon when it's round<br/>{旧正月:キュウショウガツ} lunar New Year (esp. the Chinese New Year)<br/>{お正月:オショウガツ} New Year (esp. first three days), first month of the year, January	{月:つき}<br/>{月:げつ}<br/>{月:げつ}{曜:よう}{日:び}<br/>{月:げつ}{曜:よう}<br/>{月:げっ}{給:きゅう}<br/>{月:げつ}{末:まつ}<br/>{月:つき}{日:ひ}<br/>{月:げっ}{賦:ぷ}<br/>{月:つき}{並:な}み<br/>{月:げっ}{謝:しゃ}<br/>{月:げっ}{食:しょく}<br/>{月:つき}{々:づき}<br/>{月:げっ}{収:しゅう}<br/>{月:げつ}{面:めん}<br/>{月:げつ}{額:がく}<br/>{月:げっ}{間:かん}<br/>{月:げつ}{例:れい}<br/>{月:げっ}{光:こう}<br/>{月:つき}{見:み}<br/>{月:つき}{夜:よ}
分	4	24		grade 2	knife, sword 刀 (刂)	ハ 刀	part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100	わ.ける, わ.け, わ.かれる, わ.かる, わ.かつ	ブン, フン, ブ	{分ける:わける} to divide (into), to split (into), to part, to separate, to divide up, to classify, to sort out, to divide out, to share, to distribute, to deal out, to dish out, to distinguish, to discriminate, to differentiate (between), to break up (a fight), to mediate, to call a draw, to tie, to push one's way through (a crowd), to sell<br/>{分け:わけ} sharing, division, draw, tie<br/>{分ける:わける} to divide (into), to split (into), to part, to separate, to divide up, to classify, to sort out, to divide out, to share, to distribute, to deal out, to dish out, to distinguish, to discriminate, to differentiate (between), to break up (a fight), to mediate, to call a draw, to tie, to push one's way through (a crowd), to sell<br/>{申し訳:もうしわけ} apology, excuse<br/>{追分:おいわけ} forked road<br/>{分かれる:わかれる} to branch, to fork, to diverge, to separate, to split, to divide, to disperse, to scatter<br/>{分かる:わかる} to understand, to comprehend, to grasp, to see, to get, to follow, to become clear, to be known, to be discovered, to be realized, to be realised, to be found out, I know!, I think so too!<br/>{分かつ:わかつ} to divide, to separate, to share, to distribute, to distinguish	{分:ブン} part, segment, share, ration, rate, degree, one's lot, one's status, relation, duty, kind, lot, relationship, connection, correspondence, in proportion to, just as much as<br/>{分化:ブンカ} specialization, specialisation, differentiation<br/>{応分:オウブン} according to one's abilities, appropriate, reasonable<br/>{細分:サイブン} subdivision (into small parts)<br/>{分:フン} minute (unit of time), fun (one tenth of a monme, 5.787 grains)<br/>{分別:フンベツ} discretion, prudence, good sense, judgement, judgment, wisdom, discernment<br/>{毎分:マイフン} every minute, per minute<br/>{壊変毎分:カイヘンマイフン} disintegration per minute, dpm<br/>{分:ブ} one-tenth, one percent (one-tenth of a wari), 3 mm (one-tenth of a sun), 2.4 mm (one-tenth of a mon, a traditional unit used to measure shoe sizes), 0.1 degree (one-tenth of a do, used to measure body temperature on any temperature scale), one-quarter of a ryou (obsolete unit of currency), thickness, advantageous circumstances, one-tenth of a monme of silver<br/>{分:ブン} part, segment, share, ration, rate, degree, one's lot, one's status, relation, duty, kind, lot, relationship, connection, correspondence, in proportion to, just as much as<br/>{一分:イチブ} one tenth, one hundredth, one percent, one tenth of a sun, one quarter ryou (an old coin)<br/>{節分:セツブン} last day of winter in the traditional Japanese calendar (usually February 3 or 4), holiday for end of winter (accompanied by a bean scattering ceremony), last day of any season (according to the traditional Japanese calendar)	{分:ぶん}<br/>{分:ふん}<br/>{分:ぶ}<br/>{分:ぶん}{析:せき}<br/>{分:わ}かる<br/>{分:ぶん}{布:ぷ}<br/>{分:ぶん}{裂:れつ}<br/>{分:ぶん}{子:し}<br/>{分:わ}ける<br/>{分:ぶん}{野:や}<br/>{分:わ}かれる<br/>{分:ぶん}{類:るい}<br/>{分:ぶん}{解:かい}<br/>{分:ぶん}{量:りょう}<br/>{分:ぶん}{配:ぱい}<br/>{分:ぶん}{担:たん}<br/>{分:ぶん}{離:り}<br/>{分:ぶん}{娩:べん}<br/>{分:ぶん}{岐:き}<br/>{分:ぶん}{数:すう}
議	20	25	N3	grade 4	speech 言 (訁)	一 亅 并 戈 手 王 羊 言	deliberation, consultation, debate, consideration		ギ		{議:ギ} discussion, deliberation, thought, opinion<br/>{議案:ギアン} legislative bill, measure, agenda item<br/>{本会議:ホンカイギ} plenary session, regular session<br/>{日本学術会議:ニホンガクジュツカイギ} Science Council of Japan	{議:ぎ}<br/>{議:ぎ}{長:ちょう}<br/>{議:ぎ}{会:かい}<br/>{議:ぎ}{員:いん}<br/>{議:ぎ}{論:ろん}<br/>{議:ぎ}{題:だい}<br/>{議:ぎ}{案:あん}<br/>{議:ぎ}{決:けつ}<br/>{議:ぎ}{事:じ}<br/>{議:ぎ}{席:せき}<br/>{議:ぎ}{事:じ}{録:ろく}<br/>{議:ぎ}{事:じ}{妨:ぼう}{害:がい}<br/>{議:ぎ}{事:じ}{堂:どう}<br/>{議:ぎ}{院:いん}<br/>{議:ぎ}{院:いん}{運:うん}{営:えい}{委:い}{員:いん}{会:かい}<br/>{議:ぎ}{定:てい}{書:しょ}<br/>{議:ぎ}{場:じょう}<br/>{議:ぎ}{会:かい}{主:しゅ}{義:ぎ}<br/>{議:ぎ}{会:かい}{政:せい}{治:じ}<br/>{議:ぎ}{論:ろん}になる
後	9	26	N5	grade 2	step 彳	夂 幺 彳	behind, back, later	のち, うし.ろ, うしろ, あと, おく.れる	ゴ, コウ	{後:のち} later, afterwards, since, future, after one's death, descendant<br/>後々 【のちのち】 future, distant future<br/>後々 【のちのち】 future, distant future<br/>{この後:このあと} after this, henceforth, henceforward, from now on<br/>{後ろ:うしろ} back, behind, rear<br/>{後ろ姿:うしろすがた} retreating figure, appearance from behind<br/>{後ろ:うしろ} back, behind, rear<br/>{後ろ姿:うしろすがた} retreating figure, appearance from behind<br/>{後:あと} behind, rear, after, later, after one's death, remainder, the rest, descendant, successor, heir, more (e.g. five more minutes), left, also, in addition, past, previous<br/>{後押し:あとおし} pushing, backing, boosting, supporting, pushing from behind (a cart, etc.), pusher<br/>{亡き後:なきあと} after one's death<br/>後々 【あとあと】 future, distant future<br/>{遅れる:おくれる} to be late, to be delayed, to fall behind schedule, to be overdue, to fall behind, to fall behind (in school, etc.), to struggle (with a subject), to be outdated, to fall behind (the times), to be out of touch (with)	{後:ゴ} after<br/>{後日:ゴジツ} in the future, another day, later<br/>{越後:エチゴ} Echigo, old name for Niigata Prefecture<br/>{終了後:シュウリョウゴ} after the end (of something), post-<br/>{後援:コウエン} support, backing<br/>{後遺症:コウイショウ} prognostic symptoms, after-effect<br/>{向後:コウゴ} hereafter	{後:あと}<br/>{後:うし}ろ<br/>{後:ご}<br/>{後:のち}<br/>{後:こう}{者:しゃ}<br/>{後:こう}{輩:はい}<br/>{後:こう}{退:たい}<br/>{後:あと}{回:まわ}し<br/>{後:こう}{悔:かい}<br/>{後:こう}{半:はん}<br/>{後:こう}{部:ぶ}<br/>{後:こう}{世:せい}<br/>{後:こう}{方:ほう}<br/>{後:こう}{援:えん}<br/>{後:うし}ろ{向:む}き<br/>{後:あと}{押:お}し<br/>{後:あと}{始:し}{末:まつ}
